             43	         O
           City	         O
           seem	         O
             to	         O
           have	         O
       survived	         O
            the	         O
          scare	         O
             of	         O
        Walcott	     S-PER
             's	         O
      equaliser	         O
              .	         O
            The	         O
      Koscielny	    S-MISC
         injury	         O
             is	         O
           also	         O
              a	         O
         stroke	         O
             of	         O
           luck	         O
            for	         O
            the	         O
           home	         O
           side	         O
              .	         O
           Away	         O
           fans	         O
           will	         O
             be	         O
        worried	         O
             as	         O
            the	         O
        problem	         O
          looks	         O
    potentially	         O
        serious	         O
              .	         O

