              5	         O
            Per	     B-PER
    Mertesacker	     E-PER
              ,	         O
        Flamini	     S-PER
            and	         O
          Sagna	     S-ORG
           have	         O
        already	         O
           been	         O
         tested	         O
   considerably	         O
          after	         O
           just	         O
           five	         O
        minutes	         O
              .	         O
            How	         O
           they	         O
           cope	         O
          today	         O
           will	         O
          prove	         O
        crucial	         O
              .	         O
             If	         O
           they	         O
           cope	         O
              ,	         O
           they	         O
            'll	         O
             be	         O
       rewarded	         O
           with	         O
              a	         O
          clash	         O
        against	         O
        Chelsea	     S-ORG
           next	         O
           week	         O
              .	         O
         Lovely	     S-PER
              .	         O

