             76	         O
   Substitution	         O
        Olivier	     B-PER
         Giroud	     I-PER
        Nicklas	     I-PER
       Bendtner	     I-PER
        Nicklas	     I-PER
       Bendtner	     E-PER
          comes	         O
             on	         O
            for	         O
         Giroud	     S-PER
            now	         O
              ,	         O
        instead	         O
             of	         O
         coming	         O
             on	         O
      alongside	         O
           him.	         O
            The	         O
      Frenchman	    S-MISC
            has	         O
            not	         O
            had	         O
            the	         O
           best	         O
             of	         O
          days.	         O

