             24	         O
            But	         O
            the	         O
           ball	         O
             is	         O
            won	         O
           back	         O
             by	         O
        Kompany	     S-PER
            and	         O
          Silva	     S-PER
          races	         O
       straight	         O
           down	         O
            the	         O
          other	         O
            end	         O
              .	         O
             He	         O
         passes	         O
             to	         O
        Negredo	    S-MISC
            but	         O
             he	         O
             is	         O
        offside	         O
              .	         O

