              2	         O
         Aguero	     S-PER
         enjoys	         O
              a	         O
         chance	         O
             to	         O
            run	         O
             at	         O
            the	         O
        Arsenal	     S-ORG
        defence	         O
        already	         O
              !	         O
             No	         O
      surprises	         O
             as	         O
        Mathieu	     B-PER
        Flamini	     E-PER
          stops	         O
            him	         O
             in	         O
            his	         O
         tracks	         O
              ,	         O
       although	         O
             he	         O
          gives	         O
           away	         O
              a	         O
           foul	         O
              .	         O
           That	         O
          could	         O
             be	         O
            key	         O
          right	         O
          there	         O
              -	         O
            how	         O
        Flamini	     S-PER
       protects	         O
            the	         O
           back	         O
           four	         O
              .	         O

