              3	         O
          After	         O
          their	         O
           free	         O
           kick	         O
              ,	         O
           City	     S-ORG
           have	         O
            won	         O
              -	         O
            and	         O
         wasted	         O
              -	         O
              a	         O
         corner	         O
              .	         O
   Nevertheless	         O
              ,	         O
             it	         O
             is	         O
            all	         O
         coming	         O
           from	         O
            the	         O
          hosts	         O
             at	         O
            the	         O
         moment	         O
              .	         O
           They	         O
           have	         O
           come	         O
            out	         O
             of	         O
            the	         O
         blocks	         O
     absolutely	         O
         flying	         O
              !	         O

