             14	         O
           Goal	         O
         Sergio	     B-ORG
             Ag	     E-ORG
            ero	         O
           GOAL	         O
              !	         O
         Aguero	     S-PER
              !	         O
        Arsenal	     S-ORG
            had	         O
          their	         O
        chances	         O
            but	         O
     Manchester	     B-ORG
           City	     E-ORG
           have	         O
           made	         O
           them	         O
            pay	         O
            for	         O
            not	         O
         taking	         O
           them	         O
              !	         O
            The	         O
          hosts	         O
       advanced	         O
             up	         O
            the	         O
          other	         O
            end	         O
          after	         O
         Giroud	     S-PER
             's	         O
        opening	         O
            and	         O
            won	         O
              a	         O
         corner	         O
              .	         O
             It	         O
            was	         O
        whipped	         O
             in	         O
            and	         O
         Martin	     B-PER
     Demichelis	     E-PER
         headed	         O
             it	         O
             on	         O
             to	         O
         Aguero	     S-PER
              ,	         O
            who	         O
       volleyed	         O
           home	         O
       superbly	         O
              .	         O
           City	     S-ORG
           have	         O
            the	         O
           lead	         O
              .	         O

