             31	         O
           Goal	         O
           Theo	     B-PER
        Walcott	     I-PER
       GOALLLLL	     E-PER
              !	         O
        Arsenal	     S-ORG
       equalise	         O
              !	         O
            Out	         O
             of	         O
        nothing	         O
              ,	         O
            the	         O
       visitors	         O
            are	         O
           back	         O
             in	         O
           this	         O
              .	         O
        Walcott	     S-PER
          takes	         O
              a	         O
    speculative	         O
           shot	         O
            and	         O
     Demichelis	     S-PER
          tries	         O
             to	         O
           head	         O
             it	         O
           away	         O
              .	         O
        However	         O
              ,	         O
             he	         O
          doesn	         O
             't	         O
            get	         O
             to	         O
             it	         O
            and	         O
           that	         O
       deceives	         O
     Pantilimon	     S-PER
              ,	         O
            and	         O
            the	         O
           ball	         O
        bobbles	         O
           into	         O
            the	         O
           back	         O
             of	         O
            the	         O
            net	         O
              !	         O

