             66	         O
           Goal	         O
          David	     B-PER
          Silva	     E-PER
           GOAL	         O
              !	         O
          Silva	     S-PER
          makes	         O
             it	         O
            4-2	         O
            and	         O
           that	         O
             is	         O
        exactly	         O
            the	         O
           form	         O
              I	         O
            was	         O
      referring	         O
             to	         O
              .	         O
          Navas	     S-PER
            was	         O
       involved	         O
             in	         O
            the	         O
       build-up	         O
            but	         O
             it	         O
            was	         O
            his	         O
         fellow	         O
       Spaniard	    S-MISC
            who	         O
       provided	         O
            the	         O
         finish	         O
              .	         O
             No	         O
         matter	         O
            how	         O
           hard	         O
        Arsenal	     S-ORG
            try	         O
             to	         O
            get	         O
           back	         O
           into	         O
           this	         O
            one	         O
              ,	         O
           they	         O
         cannot	         O
           keep	         O
             up	         O
           with	         O
            the	         O
          hosts	         O
             in	         O
        defence	         O
              .	         O
           That	         O
         should	         O
             be	         O
            the	         O
            end	         O
             of	         O
            the	         O
        Gunners	         O
              '	         O
      fightback	         O
              .	         O

