              7	         O
          CROSS	     S-ORG
              !	         O
          Pablo	     B-PER
       Zabaleta	     E-PER
            now	         O
         drives	         O
        forward	         O
            and	         O
          plays	         O
              a	         O
          cross	         O
           into	         O
            the	         O
        penalty	         O
          area.	         O
             It	         O
             is	         O
        blocked	         O
              -	         O
            but	         O
           when	         O
           will	         O
        Arsenal	     S-ORG
            get	         O
             to	         O
            see	         O
            the	         O
           ball	         O
       properly	         O
              !	         O
              ?	         O

