             26	         O
          Toure	     S-PER
           then	         O
         shoots	         O
            but	         O
            can	         O
             't	         O
          quite	         O
            get	         O
            the	         O
          angle	         O
          right	         O
              .	         O
           What	         O
              a	         O
           move	         O
           from	         O
            the	         O
          hosts	         O
              ,	         O
         though	         O
              .	         O
          Silva	     S-PER
              ,	         O
          Toure	     S-PER
            and	         O
        Negredo	     S-PER
            all	         O
           look	         O
             at	         O
          their	         O
           best	         O
              ,	         O
           with	         O
       Zabaleta	     S-PER
           also	         O
       offering	         O
         plenty	         O
             to	         O
            the	         O
           City	         O
         attack	         O
              .	         O

