             33	         O
         CHANCE	         O
              !	         O
              !	         O
           That	         O
             's	         O
          where	         O
              -	         O
           City	         O
         almost	         O
         retake	         O
            the	         O
           lead	         O
      instantly	         O
              !	         O
        Monreal	     S-PER
            can	         O
             't	         O
          track	         O
            the	         O
            run	         O
             of	         O
        Negredo	     S-PER
            and	         O
             he	         O
             is	         O
            one	         O
             on	         O
            one	         O
           with	         O
       Wojciech	     B-PER
       Szczesny	     E-PER
            but	         O
             he	         O
         shoots	         O
           just	         O
           wide	         O
              !	         O

