             56	         O
            The	         O
          hosts	         O
            can	         O
         afford	         O
             to	         O
           slip	         O
           into	         O
         cruise	         O
        control	         O
             if	         O
        Arsenal	     S-ORG
            don	         O
             't	         O
           take	         O
          their	         O
        chances	         O
           here	         O
              .	         O
             As	         O
         things	         O
          stand	         O
              ,	         O
           City	     S-LOC
           will	         O
           only	         O
             be	         O
          three	         O
         points	         O
         behind	         O
            the	         O
         league	         O
        leaders	         O
              .	         O

