             84	         O
          Nasri	     S-PER
          beats	         O
            two	         O
      defenders	         O
            but	         O
    Mertesacker	     S-PER
         slides	         O
             in	         O
            and	         O
          deals	         O
           with	         O
            the	         O
      Frenchman	    S-MISC
           well	         O
              !	         O
            The	         O
         tackle	         O
           sees	         O
            the	         O
           ball	         O
            hit	         O
          Nasri	     S-PER
            and	         O
           then	         O
             go	         O
            off	         O
            for	         O
              a	         O
           goal	         O
           kick	         O
              .	         O

