             49	         O
         Aguero	     S-PER
          seems	         O
             to	         O
           have	         O
        injured	         O
            his	         O
           calf	         O
              ,	         O
          while	         O
        Kompany	     S-PER
         almost	         O
      deputises	         O
  fantastically	         O
            for	         O
           him.	         O
            The	     B-LOC
           City	     E-LOC
        captain	         O
            ran	         O
            the	         O
         length	         O
             of	         O
            the	         O
          pitch	         O
              ,	         O
        evading	         O
          three	         O
      different	         O
     challenges	         O
              !	         O
            But	         O
            his	         O
          cross	         O
           went	         O
       straight	         O
             to	         O
    Mertesacker	    S-MISC
              .	         O
          Great	         O
         effort	         O
              .	         O

