             39	         O
           Goal	         O
        Negredo	         O
           GOAL	         O
              !	         O
        Negredo	     S-PER
           puts	         O
           City	     S-LOC
           back	         O
           into	         O
            the	         O
           lead	         O
              !	         O
        Another	         O
          quick	         O
           move	         O
           from	         O
            the	         O
          hosts	         O
            saw	         O
            the	         O
       Spaniard	    S-MISC
         played	         O
           into	         O
            the	         O
           area	         O
            and	         O
             he	         O
           slid	         O
             in	         O
           from	         O
          short	         O
          range	         O
             to	         O
           send	         O
            the	         O
           ball	         O
           home	         O
              .	         O
      Koscielny	     S-PER
            had	         O
           slid	         O
             in	         O
             to	         O
            try	         O
            and	         O
           stop	         O
            him	         O
            and	         O
         picked	         O
             up	         O
             an	         O
         injury	         O
             in	         O
            the	         O
        process	         O
              .	         O

