             10	         O
         CHANCE	         O
              !	         O
           Theo	     B-PER
        Walcott	     E-PER
         breaks	         O
        forward	         O
           with	         O
            his	         O
          first	         O
           real	         O
    involvement	         O
             of	         O
            the	         O
           game	         O
            and	         O
          plays	         O
             in	         O
           Jack	     B-PER
       Wilshere	     E-PER
              .	         O
            The	         O
        England	     S-LOC
     midfielder	         O
             is	         O
             in	         O
              a	         O
          great	         O
       position	         O
            but	         O
         wastes	         O
            the	         O
    opportunity	         O
              .	         O

