             52	         O
             So	         O
            the	         O
           loss	         O
             of	         O
         Aguero	     S-PER
           does	         O
            not	         O
           hurt	         O
            the	         O
          hosts	         O
            too	         O
           much	         O
             in	         O
            the	         O
          short	         O
           term	         O
             as	         O
    Fernandinho	     S-PER
           gets	         O
            his	         O
          first	         O
           ever	         O
           City	         O
           goal	         O
              .	         O
        Arsenal	     S-ORG
             's	         O
      respoonse	         O
             is	         O
          muted	         O
              ,	         O
             as	         O
         Giroud	     S-PER
        chooses	         O
             to	         O
          shoot	         O
        instead	         O
             of	         O
        passing	         O
             to	         O
             an	         O
       unmarked	         O
         Ramsey	     S-PER
              .	         O
         Chance	         O
         wasted	         O
              .	         O

