              4	         O
      Tottenham	     S-ORG
            get	         O
            the	         O
         chance	         O
             to	         O
         create	         O
             an	         O
        opening	         O
             of	         O
          their	         O
            own	         O
              ,	         O
         though	         O
              ,	         O
            but	         O
       Paulinho	     S-PER
             's	         O
           pass	         O
             is	         O
      misplaced	         O
            and	         O
           goes	         O
         beyond	         O
            the	         O
          reach	         O
             of	         O
          Aaron	     B-PER
         Lennon	     E-PER
              .	         O

