             61	         O
         Holtby	     S-PER
            has	         O
           been	         O
         lively	         O
          since	         O
            his	         O
   introduction	         O
            but	         O
       Coutinho	     S-PER
            has	         O
           just	         O
         robbed	         O
       Paulinho	    S-MISC
             of	         O
            the	         O
           ball	         O
            and	         O
             is	         O
   subsequently	         O
         hauled	         O
           down	         O
             by	         O
         Walker	     S-PER
              .	         O
            The	         O
     right-back	         O
            has	         O
        already	         O
           been	         O
         booked	         O
            and	         O
          needs	         O
             to	         O
             be	         O
        careful	         O
              .	         O

