             82	         O
         LLORIS	     S-ORG
              !	         O
            But	         O
            for	         O
            the	         O
      Frenchman	    S-MISC
              ,	         O
            the	         O
          hosts	         O
          could	         O
           have	         O
           gone	         O
            4-0	         O
           down	         O
            now	         O
              ,	         O
           with	         O
         Lloris	     S-PER
       stealing	         O
            the	         O
           ball	         O
            off	         O
       Sterling	     S-PER
           just	         O
             in	         O
          time.	         O

