             33	         O
         CHANCE	         O
              !	         O
              !	         O
       Speaking	         O
             of	         O
         Suarez	     S-PER
              ,	         O
             he	         O
            has	         O
             to	         O
             do	         O
         better	         O
          there	         O
              !	         O
             It	         O
          could	         O
           have	         O
          quite	         O
         easily	         O
           been	         O
            2-0	         O
          there	         O
            but	         O
            the	         O
      Uruguayan	    S-MISC
          could	         O
            not	         O
          quite	         O
         finish	         O
            the	         O
           move	         O
              .	         O

