             40	         O
           Goal	         O
         Jordan	     B-PER
      Henderson	     I-PER
         GOALLL	     E-PER
              !	         O
              !	         O
      Henderson	     S-PER
        doubles	         O
      Liverpool	     S-ORG
             's	         O
           lead	         O
              !	         O
              !	         O
            The	         O
           move	         O
        started	         O
           with	         O
       Sterling	     S-PER
        playing	         O
              a	         O
          great	         O
           ball	         O
             in	         O
             to	         O
       Coutinho	     S-PER
            but	         O
            the	         O
      Brazilian	    S-MISC
             's	         O
          touch	         O
            was	         O
           even	         O
         better	         O
              .	         O
            His	         O
          skill	         O
       released	         O
      Henderson	     S-PER
              ,	         O
         though	         O
             he	         O
          could	         O
           only	         O
           draw	         O
              a	         O
           save	         O
           from	         O
         Lloris	     S-PER
              ,	         O
           with	         O
         Suarez	     S-PER
           then	         O
          doing	         O
            the	         O
           same	         O
              .	         O
            But	         O
             it	         O
            was	         O
          third	         O
           time	         O
          lucky	         O
             as	         O
      Henderson	     S-PER
     clinically	         O
       finished	         O
             to	         O
      Liverpool	     S-ORG
            2-0	         O
          ahead	         O
              .	         O

