              3	         O
            The	         O
       visitors	         O
       exchance	         O
              a	         O
            few	         O
           neat	         O
         passes	         O
            now	         O
              ,	         O
           with	         O
          Sakho	     S-PER
              ,	         O
          Lucas	     S-PER
            and	         O
         Skrtel	     S-PER
       knocking	         O
            the	         O
           ball	         O
         around	         O
           with	         O
           ease	         O
              .	         O
             We	         O
            're	         O
           only	         O
              a	         O
            few	         O
        minutes	         O
             in	         O
            but	         O
      Liverpool	     S-ORG
           look	         O
        settled	         O
        already	         O
              .	         O

