             35	         O
        Etienne	     B-PER
         Capoue	     E-PER
            and	         O
         Chadli	     S-ORG
        combine	         O
            and	         O
            the	         O
           ball	         O
             is	         O
           then	         O
         played	         O
             to	         O
       Naughton	     S-PER
              .	         O
             He	         O
         knocks	         O
             it	         O
       straight	         O
            out	         O
             of	         O
           play	         O
              ,	         O
        however	         O
              ,	         O
           with	         O
            his	         O
     team-mates	         O
      expecting	         O
           more	         O
           from	         O
           him.	         O

