             73	         O
           OVER	         O
              !	         O
         Lloris	     S-PER
             is	         O
         beaten	         O
           this	         O
           time	         O
              ,	         O
         though	         O
              ,	         O
            but	         O
       Coutinho	     S-PER
             's	         O
           shot	         O
         blazes	         O
           over	         O
            the	         O
            bar	         O
              .	         O
         Suarez	     S-PER
            had	         O
         played	         O
            the	         O
      Brazilian	    S-MISC
             in	         O
            and	         O
            his	         O
         curled	         O
         effort	         O
            was	         O
              a	         O
            few	         O
        degrees	         O
           wide	         O
             of	         O
        putting	         O
      Liverpool	     S-ORG
            3-0	         O
             up	         O
              .	         O

