             58	         O
        Another	         O
      set-piece	         O
             as	         O
         Holtby	     S-PER
          whips	         O
              a	         O
           free	         O
           kick	         O
             in	         O
            and	         O
              a	         O
         Sandro	    S-MISC
       knock-on	         O
             is	         O
        cleared	         O
            for	         O
              a	         O
         corner	         O
              .	         O

