             59	         O
        PENALTY	         O
              !	         O
              ?	         O
            The	         O
      Tottenham	     S-ORG
          crowd	         O
      certainly	         O
        thought	         O
             so	         O
          after	         O
              a	         O
          Spurs	     S-ORG
            man	         O
            was	         O
        brought	         O
           down	         O
             in	         O
            the	         O
            box	         O
            but	         O
        referee	         O
           Moss	     S-PER
        thought	         O
      otherwise	         O
              .	         O
          Spurs	     S-ORG
      continued	         O
             to	         O
          press	         O
          after	         O
            the	         O
        appeals	         O
              ,	         O
        however	         O
              ,	         O
          after	         O
       Sterling	     S-PER
           gave	         O
            the	         O
           ball	         O
           away	         O
              ,	         O
       although	         O
             it	         O
            was	         O
     eventually	         O
        cleared	         O
              .	         O
           This	         O
             is	         O
              a	         O
           good	         O
         period	         O
             of	         O
       pressure	         O
            for	         O
            the	         O
           home	         O
           side	         O
              .	         O

