             39	         O
         Chance	         O
            for	         O
      Tottenham	     S-ORG
              ,	         O
        however	         O
              !	         O
             It	         O
             's	         O
     substitute	         O
         Holtby	    S-MISC
            who	         O
             is	         O
      presented	         O
           with	         O
            the	         O
           ball	         O
             in	         O
            the	         O
            box	         O
            but	         O
             he	         O
            can	         O
             't	         O
           make	         O
            the	         O
           most	         O
             of	         O
            it.	         O

