             22	         O
            The	         O
           Reds	     S-ORG
           look	         O
           very	         O
          quick	         O
             in	         O
         attack	         O
             at	         O
            the	         O
         moment	         O
            and	         O
            the	         O
          hosts	         O
            are	         O
        finding	         O
             it	         O
      difficult	         O
             to	         O
           deal	         O
           with	         O
          them.	         O
         Suarez	     S-PER
             is	         O
         making	         O
            the	         O
     difference	         O
            but	         O
            the	         O
          likes	         O
             of	         O
       Coutinho	     S-PER
              ,	         O
       Sterling	     S-PER
            and	         O
      Henderson	     S-PER
            are	         O
      certainly	         O
         aiding	         O
           him.	         O

