             71	         O
             It	         O
          comes	         O
             to	         O
        nothing	         O
            but	         O
      Tottenham	     S-ORG
         appear	         O
             to	         O
             be	         O
        sinking	         O
        without	         O
          trace	         O
              .	         O
       Paulinho	     S-PER
             's	         O
            red	         O
           card	         O
            may	         O
           have	         O
           been	         O
            the	         O
          final	         O
           nail	         O
             in	         O
            the	         O
         coffin	         O
              .	         O

