              5	         O
         Jordan	     B-PER
      Henderson	     E-PER
            and	         O
       Coutinho	     S-PER
        combine	         O
            now	         O
              ,	         O
         though	         O
          Mousa	     B-PER
        Dembele	     E-PER
     eventually	         O
           wins	         O
            the	         O
           ball	         O
           back	         O
            for	         O
          Spurs	     S-ORG
              .	         O
             It	         O
             's	         O
           been	         O
              a	         O
          well-	         O
      contested	         O
        opening	         O
            few	         O
        minutes	         O
             in	         O
          terms	         O
             of	         O
       midfield	         O
        battles	         O
              .	         O

