             46	         O
            Off	         O
             we	         O
             go	         O
            for	         O
            the	         O
         second	         O
           half	         O
              !	         O
           Kyle	     B-PER
       Naughton	     E-PER
            has	         O
           been	         O
       replaced	         O
             by	         O
           Zeki	     B-PER
         Fryers	     E-PER
              -	         O
            but	         O
         Capoue	     S-PER
          still	         O
        remains	         O
              .	         O
             So	         O
           does	         O
         Dawson	     S-PER
              .	         O
           Both	         O
     struggling	         O
              .	         O

