             75	         O
           Goal	         O
            Jon	     B-PER
       Flanagan	     E-PER
           GOAL	         O
              !	         O
       Flanagan	     S-PER
          makes	         O
             it	         O
            3-0	         O
             to	         O
      Liverpool	     S-LOC
              !	         O
              !	         O
              !	         O
           That	         O
             is	         O
           well	         O
            and	         O
          truly	         O
           game	         O
           over	         O
             as	         O
             an	         O
       unlikely	         O
           hero	         O
             in	         O
      Liverpool	     S-ORG
             's	         O
      full-back	         O
           caps	         O
              a	         O
      wonderful	         O
           team	         O
           move	         O
              .	         O
         Suarez	     S-PER
              ,	         O
       Coutinho	     S-PER
             et	         O
             al	         O
              -	         O
           they	         O
           were	         O
            all	         O
       involved	         O
              .	         O
            But	         O
             it	         O
            was	         O
          young	         O
       Flanagan	     S-PER
            who	         O
            put	         O
            the	         O
           ball	         O
           into	         O
            the	         O
            net	         O
              .	         O
           Good	         O
             on	         O
           him.	         O
            And	         O
           game	         O
       finished	         O
              .	         O

