             37	         O
        Shocker	     S-PER
              !	         O
            The	         O
           ball	         O
             is	         O
          given	         O
           away	         O
             by	         O
          Allen	     S-PER
              -	         O
            how	         O
           many	         O
          times	         O
           have	         O
             we	         O
           seen	         O
           that	         O
           this	         O
         season	         O
           from	         O
            the	         O
       supposed	         O
           pass	         O
         master	         O
              ?	         O
          Spurs	     S-ORG
            win	         O
              a	         O
           half	         O
              -	         O
         chance	         O
             as	         O
              a	         O
         result	         O
            but	         O
       Mignolet	     S-PER
          makes	         O
              a	         O
           save	         O
              .	         O

