             25	         O
           OVER	         O
              !	         O
        Soldado	     S-PER
           gets	         O
              a	         O
         header	         O
           away	         O
            but	         O
          sends	         O
             it	         O
           over	         O
            the	         O
            bar	         O
              .	         O
             He	         O
        appeals	         O
            for	         O
              a	         O
           foul	         O
     thereafter	         O
            but	         O
        referee	         O
       Jonathan	     B-PER
           Moss	     E-PER
          shows	         O
             no	         O
     hesitation	         O
             in	         O
       ignoring	         O
            the	         O
       protests	         O
              .	         O

