             26	         O
          Sakho	     S-PER
            now	         O
         dwells	         O
             on	         O
            the	         O
           ball	         O
            and	         O
             is	         O
         robbed	         O
             of	         O
     possession	         O
              .	         O
         Skrtel	     S-PER
         covers	         O
            for	         O
            his	         O
    centre-back	         O
        partner	         O
              ,	         O
       clearing	         O
            the	         O
           ball	         O
            out	         O
             of	         O
           play	         O
          after	         O
             an	         O
      attacking	         O
            run	         O
           from	         O
       Paulinho	    S-MISC
              .	         O

