             21	         O
         CHANCE	         O
              !	         O
         Suarez	     S-PER
           goes	         O
     one-on-one	         O
           with	         O
         Lloris	     S-PER
              ,	         O
         almost	         O
       doubling	         O
            his	         O
          tally	         O
            and	         O
      Liverpool	     S-ORG
             's	         O
           lead	         O
              !	         O
             He	         O
            can	         O
             't	         O
        convert	         O
           this	         O
            one	         O
              ,	         O
         though	         O
              ,	         O
            and	         O
             it	         O
           goes	         O
            out	         O
            for	         O
              a	         O
         corner	         O
              .	         O

