             12	         O
             It	         O
             's	         O
              a	         O
           poor	         O
           free	         O
           kick	         O
              ,	         O
         though	         O
              ,	         O
            and	         O
      Tottenham	     S-ORG
     eventually	         O
          clear	         O
              .	         O
       Positive	         O
          signs	         O
           from	         O
       Sterling	     S-PER
              ,	         O
        however	         O
              ,	         O
            who	         O
             is	         O
       enjoying	         O
             an	         O
       extended	         O
            run	         O
             of	         O
         action	         O
          after	         O
            his	         O
       mediocre	         O
          start	         O
             to	         O
            the	         O
        season.	         O

