             89	         O
       STERLING	     S-ORG
         SCORES	         O
      LIVERPOOL	     S-ORG
             'S	         O
          FIFTH	         O
              !	         O
              !	         O
              !	         O
             It	         O
             's	         O
         Suarez	     S-PER
          again	         O
  demonstrating	         O
            his	         O
        quality	         O
           with	         O
              a	         O
  scintillating	         O
           pass	         O
              .	         O
       Sterling	     S-PER
             is	         O
          there	         O
             to	         O
         finish	         O
            and	         O
             he	         O
       deserves	         O
             it	         O
          after	         O
           this	         O
    performance	         O
              .	         O

