             16	         O
         SUAREZ	     S-PER
              !	         O
            The	         O
      Uruguayan	    S-MISC
             is	         O
             at	         O
            his	         O
       sharpest	         O
             as	         O
      Tottenham	     S-ORG
            are	         O
         caught	         O
             in	         O
     possession	         O
            but	         O
            his	         O
           shot	         O
             is	         O
        blocked	         O
            for	         O
              a	         O
         corner	         O
              .	         O
          There	         O
           were	         O
        appeals	         O
            for	         O
              a	         O
           foul	         O
             in	         O
            the	         O
            box	         O
              ,	         O
             as	         O
           well	         O
              !	         O

