              6	         O
         Suarez	     S-PER
           puts	         O
         Dawson	     S-PER
          under	         O
       pressure	         O
            now	         O
            but	         O
            the	         O
          hosts	         O
           keep	         O
            the	         O
           ball	         O
           well	         O
              ,	         O
     eventually	         O
        working	         O
          their	         O
            way	         O
           into	         O
            the	         O
      Liverpool	     S-ORG
           half	         O
            and	         O
       Paulinho	    S-MISC
            has	         O
              a	         O
          crack	         O
             at	         O
           goal	         O
              !	         O
            The	         O
      Brazilian	    S-MISC
             's	         O
           shot	         O
           goes	         O
           over	         O
            the	         O
            bar	         O
            but	         O
          Spurs	     S-ORG
           look	         O
           keen	         O
             to	         O
          match	         O
      Liverpool	     S-ORG
             's	         O
      energetic	         O
          start	         O
              .	         O

