             45	         O
           They	         O
           have	         O
              ,	         O
             by	         O
            and	         O
          large	         O
              ,	         O
           been	         O
      outplayed	         O
             by	         O
            the	         O
           Reds	     S-ORG
              ,	         O
        however	         O
              .	         O
            And	         O
       Coutinho	     S-PER
             is	         O
     continuing	         O
             to	         O
     pressurise	         O
            the	         O
           home	         O
        defence	         O
           here	         O
            ...	         O

