             31	         O
         HEADER	         O
              !	         O
      Tottenham	     S-ORG
           have	         O
      responded	         O
             to	         O
      Liverpool	     S-ORG
             's	         O
       pressure	         O
           well	         O
              ,	         O
           with	         O
         Chadli	     S-PER
        winning	         O
              a	         O
         corner	         O
            for	         O
            the	         O
          hosts	         O
              .	         O
            The	         O
      set-piece	         O
             is	         O
         played	         O
           into	         O
            the	         O
            box	         O
            and	         O
              a	         O
         header	         O
             is	         O
      unleashed	         O
             at	         O
           goal	         O
              ,	         O
          which	         O
           goes	         O
           just	         O
           over	         O
              .	         O

