             38	         O
       Sterling	     S-PER
      threatens	         O
            now	         O
              !	         O
            The	         O
    19-year-old	         O
           runs	         O
             at	         O
           goal	         O
            and	         O
         shoots	         O
           from	         O
        outside	         O
            the	         O
          area.	         O
             It	         O
             is	         O
      deflected	         O
              ,	         O
         though	         O
              ,	         O
            and	         O
         Walker	     S-PER
            can	         O
         safely	         O
           head	         O
             it	         O
             to	         O
         Lloris	     S-LOC
              .	         O

