              7	         O
            The	         O
           home	         O
           side	         O
            win	         O
             an	         O
      attacking	         O
           free	         O
           kick	         O
            now	         O
              ,	         O
           with	         O
         Walker	     S-PER
       swinging	         O
             it	         O
           into	         O
            the	         O
            box	         O
              .	         O
             It	         O
          comes	         O
             to	         O
        nothing	         O
            but	         O
          there	         O
            was	         O
      certainly	         O
              a	         O
            lot	         O
             of	         O
   off-the-ball	         O
       activity	         O
              ,	         O
           with	         O
           lots	         O
             of	         O
        pushing	         O
            and	         O
        shoving	         O
          going	         O
             on	         O
             in	         O
            the	         O
          area.	         O

