             60	         O
           SIDE	         O
        NETTING	         O
              !	         O
             As	         O
              I	         O
            was	         O
         saying	         O
              ,	         O
          Riise	     S-PER
        manages	         O
             to	         O
          swing	         O
              a	         O
          cross	         O
        towards	         O
            the	         O
        lurking	         O
       Berbatov	     S-PER
             at	         O
            the	         O
           back	         O
           post	         O
              ,	         O
            but	         O
            the	         O
      Bulgarian	    S-MISC
            can	         O
           only	         O
           find	         O
            the	         O
           side	         O
        netting	         O
              .	         O

