             90	         O
          There	         O
           will	         O
             be	         O
              a	         O
        minimum	         O
             of	         O
           FOUR	         O
        minutes	         O
             of	         O
          added	         O
           time	         O
              !	         O

             90	         O
             +1	         O
           Goal	         O
          Kevin	     B-PER
       Mirallas	     E-PER
           GOAL	         O
              !	         O
          Kevin	     B-PER
       Mirallas	     E-PER
          takes	         O
              a	         O
            low	         O
           shot	         O
           from	         O
             25	         O
          yards	         O
            and	         O
           sees	         O
             it	         O
        squeeze	         O
          under	         O
            the	         O
     despairing	         O
           dive	         O
             of	         O
   Stekelenburg	     S-PER
             to	         O
           make	         O
             it	         O
              a	         O
           rout	         O
              .	         O
              I	         O
           must	         O
          admit	         O
              ,	         O
              I	         O
           didn	         O
             't	         O
            see	         O
            the	         O
          hosts	         O
        winning	         O
           like	         O
           this	         O
           half	         O
             an	         O
           hour	         O
            ago	         O
              !	         O

             90	         O
             +3	         O
           STAT	         O
         ATTACK	         O
              :	         O
              6	         O
              -	         O
        Everton	     S-ORG
           have	         O
         scored	         O
              4	         O
          goals	         O
             in	         O
    consecutive	         O
             PL	    S-MISC
          games	         O
             at	         O
       Goodison	     B-LOC
           Park	     E-LOC
            for	         O
           only	         O
            the	         O
          sixth	         O
           time	         O
             in	         O
            the	         O
    competition	         O
             's	         O
       history.	         O
        Rampant	         O
              .	         O
              (	         O
        OptaJoe	     S-LOC
              )	         O

