             74	         O
           That	         O
            was	         O
            the	         O
       Irishman	     S-ORG
             's	         O
          first	         O
        Premier	    B-MISC
         League	    E-MISC
           goal	         O
             of	         O
            the	         O
         season	         O
            and	         O
             it	         O
            had	         O
       relieved	         O
              a	         O
          tense	         O
           home	         O
        support	         O
              .	         O
         Fulham	     S-ORG
           have	         O
           been	         O
            the	         O
         better	         O
             of	         O
           both	         O
          sides	         O
             in	         O
           this	         O
           half	         O
            and	         O
           they	         O
           will	         O
           feel	         O
     frustrated	         O
           that	         O
           they	         O
           were	         O
           only	         O
             on	         O
          level	         O
          terms	         O
            for	         O
          seven	         O
        minutes	         O
              .	         O

