             35	         O
         DOUBLE	         O
         CHANCE	         O
              !	         O
            The	         O
        Toffees	    S-MISC
           will	         O
           kick	         O
     themselves	         O
             if	         O
           they	         O
            don	         O
             't	         O
            add	         O
             to	         O
          their	         O
          tally	         O
              .	         O
        Barkley	     S-PER
             's	         O
         effort	         O
             is	         O
        blocked	         O
            and	         O
          spins	         O
            out	         O
             to	         O
             an	         O
       unmarked	         O
          Osman	     S-PER
              ,	         O
            who	         O
           send	         O
              a	         O
       crashing	         O
         volley	         O
           wide	         O
             of	         O
            the	         O
           post	         O
              !	         O

