             30	         O
           With	         O
           half	         O
             an	         O
           hour	         O
           gone	         O
             in	         O
           this	         O
           game	         O
              ,	         O
           what	         O
           have	         O
             we	         O
        learned	         O
             so	         O
            far	         O
              ?	         O
        Roberto	     B-PER
       Martinez	     E-PER
             's	         O
            men	         O
            are	         O
        looking	         O
           good	         O
             so	         O
            far	         O
            and	         O
        deserve	         O
          their	         O
      statement	         O
             of	         O
         intent	         O
             on	         O
            the	         O
            top	         O
           four	         O
         places	         O
              .	         O
            The	         O
      Cottagers	     S-ORG
             on	         O
            the	         O
          other	         O
           hand	         O
              ?	         O
           Well	         O
              ,	         O
           they	         O
           need	         O
      something	         O
           soon	         O
             or	         O
           this	         O
           will	         O
             be	         O
        another	         O
          three	         O
         points	         O
           they	         O
           will	         O
            end	         O
             up	         O
        kissing	         O
        goodbye	         O
              .	         O

