             56	         O
        BLOCKED	         O
              !	         O
        Everton	     S-ORG
             's	         O
          first	         O
         corner	         O
             of	         O
            the	         O
           half	         O
          finds	         O
         Oviedo	     S-LOC
              ,	         O
          whose	         O
         strike	         O
           from	         O
             20	         O
          yards	         O
           hits	         O
          Riise	     S-PER
              .	         O
           That	         O
          could	         O
           have	         O
           gone	         O
       anywhere	         O
              !	         O

