             67	         O
        Penalty	         O
           Goal	         O
        Dimitar	     B-PER
       Berbatov	     E-PER
           GOAL	         O
              !	         O
            The	         O
      Bulgarian	    S-MISC
          rolls	         O
            the	         O
           ball	         O
           into	         O
            the	         O
         bottom	         O
         corner	         O
             of	         O
            the	         O
            net	         O
            and	         O
          sends	         O
         Howard	     S-PER
            the	         O
          wrong	         O
            way	         O
              .	         O
         Fulham	     S-ORG
            are	         O
          level	         O
              !	         O

