             39	         O
       SHOWBOAT	     S-ORG
              !	         O
        Everton	     S-ORG
          break	         O
           away	         O
            and	         O
           Ross	     B-PER
        Barkley	     E-PER
           runs	         O
             at	         O
            the	         O
         Fulham	     S-ORG
        defence	         O
           like	         O
              a	         O
            man	         O
             on	         O
              a	         O
        mission	         O
              .	         O
             He	         O
       produces	         O
              a	         O
         couple	         O
             of	         O
           step	         O
          overs	         O
            and	         O
           then	         O
          looks	         O
             to	         O
           find	         O
         Lukaku	     S-PER
             in	         O
            the	         O
            box	         O
              ,	         O
            but	         O
            his	         O
           pass	         O
             is	         O
  disappointing	         O
            and	         O
           goes	         O
            out	         O
            for	         O
              a	         O
           goal	         O
           kick	         O
              .	         O

