             68	         O
        Referee	         O
        Anthony	     B-PER
         Taylor	     E-PER
         seemed	         O
             to	         O
           take	         O
             an	         O
            age	         O
             to	         O
          award	         O
            the	         O
           spot	         O
           kick	         O
            but	         O
             on	         O
         closer	         O
     inspection	         O
              ,	         O
            his	         O
       decision	         O
            was	         O
              a	         O
        correct	         O
            one	         O
            and	         O
             it	         O
             is	         O
          fully	         O
       deserved	         O
            for	         O
            the	         O
      Cottagers	     S-ORG
              .	         O

