             21	         O
           SHOT	         O
              !	         O
          After	         O
         nearly	         O
         twenty	         O
        minutes	         O
             of	         O
          quiet	         O
    frustration	         O
              ,	         O
        Everton	     S-ORG
         nearly	         O
         double	         O
          their	         O
           lead	         O
              !	         O
       Deulofeu	     S-PER
         drives	         O
   unchallenged	         O
           into	         O
            the	         O
            box	         O
            and	         O
         shoots	         O
         across	         O
           goal	         O
           when	         O
             it	         O
          would	         O
           have	         O
           been	         O
         easier	         O
             to	         O
         square	         O
             it	         O
            for	         O
         Lukaku	     S-LOC
              .	         O

