             24	         O
           WHAT	         O
              A	         O
           SAVE	         O
              !	         O
        Everton	     S-ORG
            win	         O
          their	         O
          fifth	         O
         corner	         O
             of	         O
            the	         O
          game.	         O
             It	         O
             is	         O
           sent	         O
           into	         O
            the	         O
            box	         O
             by	         O
        Coleman	     S-PER
              ,	         O
            who	         O
          finds	         O
          Barry	     S-PER
              ,	         O
          whose	         O
          flick	         O
              -	         O
         header	         O
             is	         O
      deflected	         O
           onto	         O
         Lukaku	     S-LOC
            and	         O
             is	         O
         turned	         O
         around	         O
            the	         O
           post	         O
             at	         O
            the	         O
           last	         O
         second	         O
             by	         O
   Stekelenburg	     S-PER
              !	         O

