             48	         O
          GREAT	         O
           SAVE	         O
              !	         O
         Fulham	     S-ORG
           were	         O
            out	         O
             on	         O
            the	         O
          pitch	         O
              a	         O
         couple	         O
             of	         O
        minutes	         O
        earlier	         O
           than	         O
          their	         O
      opponents	         O
              .	         O
           They	         O
           mean	         O
       business	         O
            and	         O
             it	         O
             's	         O
          Scott	     B-PER
         Parker	     E-PER
             of	         O
            all	         O
         people	         O
            who	         O
         brings	         O
              a	         O
          smart	         O
           save	         O
           form	         O
         Howard	     S-PER
          after	         O
          using	         O
            the	         O
        outside	         O
             of	         O
            his	         O
          right	         O
           boot	         O
             to	         O
          flick	         O
             an	         O
         effort	         O
        towards	         O
           goal	         O
              !	         O

