             62	         O
             Oh	         O
             no	         O
              !	         O
             It	         O
          looks	         O
           like	         O
       Deulofeu	     S-PER
            has	         O
        tweaked	         O
            his	         O
      hamstring	         O
              .	         O
            The	         O
         loanee	         O
           from	         O
      Barcelona	     S-LOC
            had	         O
            the	         O
           ball	         O
             at	         O
            his	         O
           feet	         O
            and	         O
             as	         O
             he	         O
       released	         O
             it	         O
             to	         O
        Coleman	     S-PER
             he	         O
          feels	         O
            the	         O
           back	         O
             of	         O
            his	         O
            leg	         O
            and	         O
          falls	         O
             to	         O
            the	         O
          floor	         O
              .	         O
            Now	         O
              a	         O
      stretcher	         O
            has	         O
           been	         O
         called	         O
            for	         O
            ...	         O

