             70	         O
         Seamus	     B-PER
        Coleman	     E-PER
           gets	         O
            the	         O
             to	         O
            the	         O
         byline	         O
            but	         O
            his	         O
          cross	         O
           goes	         O
            out	         O
             of	         O
           play	         O
            for	         O
              a	         O
           goal	         O
           kick	         O
              .	         O
             It	         O
            has	         O
           been	         O
              a	         O
           poor	         O
           half	         O
            for	         O
            the	         O
        Toffees	    S-MISC
            who	         O
           have	         O
           come	         O
        unstuck	         O
              (	         O
              I	         O
             'm	         O
           here	         O
            all	         O
           week	         O
              !	         O
              )	         O
              .	         O

