             82	         O
              A	         O
         chrous	         O
             of	         O
         groans	         O
           echo	         O
         around	         O
       Goodison	     S-ORG
             as	         O
        Pienaar	     S-PER
          sends	         O
              a	         O
        wayward	         O
           pass	         O
            out	         O
             of	         O
           play	         O
              .	         O
            The	         O
        Toffees	     S-ORG
              -	         O
             it	         O
            has	         O
             to	         O
             be	         O
           said	         O
              -	         O
           have	         O
           been	         O
         rather	         O
           poor	         O
             in	         O
           some	         O
        moments	         O
             of	         O
           this	         O
          match	         O
              !	         O

