             28	         O
           OVER	         O
              !	         O
        Everton	     S-ORG
           just	         O
           keep	         O
            'em	         O
         coming	         O
              .	         O
        Another	         O
         chance	         O
          falls	         O
             to	         O
            the	         O
           feet	         O
             of	         O
       Deulofeu	     S-LOC
      following	         O
           good	         O
           work	         O
             by	         O
        Barkley	     S-PER
            but	         O
            the	         O
      youngster	         O
          fires	         O
          miles	         O
           over	         O
            the	         O
            bar	         O
              .	         O

