              3	         O
             It	         O
             is	         O
            the	         O
           home	         O
           side	         O
            who	         O
           come	         O
            out	         O
             of	         O
            the	         O
          traps	         O
          early	         O
           here	         O
              ,	         O
         having	         O
        already	         O
            had	         O
              a	         O
         corner	         O
          dealt	         O
           with	         O
             by	         O
            the	         O
       visitors	         O
              .	         O

