             50	         O
         SITTER	         O
              !	         O
             My	         O
           word	         O
              ,	         O
           what	         O
           have	         O
            the	         O
      Cottagers	     S-ORG
            had	         O
             at	         O
            the	         O
          break	         O
              ?	         O
          Ready	         O
           Brek	     S-PER
              ?	         O
         Howard	     S-PER
        parries	         O
              a	         O
           shot	         O
       straight	         O
           into	         O
            the	         O
           path	         O
             of	         O
     Kacaniklic	     S-LOC
              ,	         O
            who	         O
          fires	         O
           over	         O
           from	         O
            six	         O
          yards	         O
              .	         O
            The	         O
           goal	         O
            was	         O
        gapping	         O
            and	         O
             so	         O
            are	         O
            the	         O
         mouths	         O
             of	         O
            the	         O
     travelling	         O
           fans	         O
              .	         O
             Oh	     S-PER
           dear	         O
            ...	         O

